Post Date,Bank ID,Account Number,Account Name,Transaction Name - BAI,Status,Debit/Credit,Amount,Bank Reference,Customer Reference,Transaction Detail,BAI Code,Type,Details,CCY,Image,Advice Reference
05/28/2026,122016066,026833523,TPA-Level funded claims 33523,ACH Return Item or Adjustment Settlement,Pending,Credit,391.62,122016062446019,,ACH RETURN ITEM CR.  W/O 260519  S000001622,168,ACH,,USD,N,
05/28/2026,122016066,026833523,TPA-Level funded claims 33523,ACH Return Item or Adjustment Settlement,Pending,Credit,118.58,122016062446020,,ACH RETURN ITEM CR.  W/O 260519  S000001675,168,ACH,,USD,N,
05/28/2026,122016066,026833523,TPA-Level funded claims 33523,ACH Return Item or Adjustment Settlement,Pending,Credit,125.33,122016062612811,,ACH RETURN ITEM CR.  W/O 260519  S000061747,168,ACH,,USD,N,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-72807.55,10160010000,5173090,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-279.79,10290075900,5173078,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-49.25,10400078100,5173059,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-903.93,10180005500,5173013,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-1101.35,10160018600,5172996,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-1657.93,10160038400,5172987,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-172.37,10370193800,5172960,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-4316.61,10340187600,5172952,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-184.82,10340265100,5172945,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-81.25,10400068400,5172939,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-94.73,10340192000,5172936,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-465.2,10170005700,5172933,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-164.08,10170202000,5172930,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-120.88,10280065400,5172915,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-3845.33,10190066600,5172913,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-93.47,10130439700,5172906,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-856.08,10310103900,5172904,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-393.22,10340568100,5172903,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-26799,10030013400,5172901,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-82.55,10400087600,5172894,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-237.88,10130681500,5172892,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-259.46,10210028900,5172880,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-465.2,10170031600,5172879,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-325.11,10220068400,5172876,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-150,10290080400,5172873,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-399.6,10080008700,5172869,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-193.37,10020124600,5172867,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-205.08,10190025500,5172866,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-106.1,10340390500,5172863,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-207.69,10190030000,5172859,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-14402.57,10340172900,5172856,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-536.41,10160195400,5172855,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-209.76,10360232600,5172854,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-467.03,10060015200,5172850,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-948.34,10060011900,5172838,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-55.51,10370243000,5172835,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-7076.06,10240028400,5172832,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-1871.9,10160023700,5172831,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-217.97,10130164000,5172827,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-118.16,10340101400,5172825,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-95.84,10370237300,5172822,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-1800,10350104900,5172818,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-330.31,10020003900,5172813,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-153.79,10400017200,5172805,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-87.47,10370125200,5172794,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-737.31,10150018000,5172788,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-40.14,10060012700,5172784,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-2304,10340089000,5172783,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-950,10130253000,5172782,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-119.16,10130683400,5172778,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-133.43,10020091000,5172769,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-36.79,10080002000,5172763,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-240.97,10190066700,5172762,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-637.02,10370193100,5172758,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-374.58,10060013200,5172741,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-705.57,10400016400,5172740,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-305.51,10340196300,5172720,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-13.28,10340136200,5172715,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-109.25,10290053400,5172713,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-107.96,10310002900,5172703,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-220.83,10130330800,5172690,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-47031.12,10080010200,5172684,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-96,10020100900,5172682,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-150.19,10310103600,5172679,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-665.31,10340144500,5172665,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-82,10340136300,5172664,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-164.69,10310128400,5172661,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-2097.58,10160006800,5172640,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-117.98,10340101800,5172613,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-2261.56,10010089300,5172612,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-2938,10160008900,5172602,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-135.77,10360239600,5172599,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-238.68,10130330500,5172595,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-619.82,10160015400,5172592,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-132.8,10190087300,5172589,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-461.69,10370245100,5172577,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-504.9,10340208600,5172576,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-200.57,10370191400,5172575,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-15,10190166600,5172563,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-331.97,10230025500,5172548,CHECK,475,CHECKS PAID,,USD,Y,
05/27/2026,122016066,026833523,TPA-Level funded claims 33523,Check Paid,Cleared,Debit,-177.25,10170042200,5172543,CHECK,475,CHECKS PAID,,USD,Y,
